mlt,mlat_n,tec_n,mlat_s,tec_s,asy
13.125,9.0,77.67797789115647,-13.0,73.59708043785311,5.395334165963805
13.375,9.0,78.87337180043384,-13.0,74.89960078740157,5.168360793392937
13.625,15.0,79.68641278493557,-13.0,75.2390130752374,5.741342565309002
13.875,15.0,79.64563815533981,-14.0,76.1828686142322,4.444333855073256
14.125,14.0,80.32711796875,-13.0,77.31457578639356,3.8220119444233607
14.375,12.0,80.73278613138685,-14.0,78.55486697459585,2.734573727873188
14.625,13.0,81.05090875576037,-13.0,79.71211125,1.665554063008268
14.875,13.0,80.20308554641598,-14.0,79.801601146789,0.5018407996970634
15.125,13.0,79.14529391504017,-13.0,80.03977535433071,-1.1238258002412456
15.375,13.0,78.39458512486428,-13.0,79.106696366782,-0.9042608862271317
15.625,15.0,77.11987341040462,-13.0,79.77869589958159,-3.3892246447753203
15.875,15.0,75.19549178743962,-13.0,80.8147951845907,-7.203760093279626
16.125,13.0,72.49364260958205,-13.0,79.09721630867143,-8.712363985813166
16.375,13.0,70.75973987068966,-13.0,75.45191410048623,-6.41833137421671
16.625,13.0,69.8876412360689,-13.0,73.04534206730769,-4.418435490899305
16.875,13.0,68.67100770731707,-13.0,71.67806930441898,-4.285117738038929
17.125,13.0,68.95517650542942,-13.0,70.5679095524957,-2.31177949489554
17.375,13.0,65.90563071354705,-13.0,69.5240388535032,-5.343597383828359
17.625,15.0,64.97388065994501,-13.0,69.46167198852774,-6.676494781581446
17.875,15.0,63.46952245841035,-14.0,69.47404063969896,-9.033183768148904
18.125,15.0,62.14797981132076,-14.0,69.03770061987238,-10.503769597269848
18.375,15.0,61.9811538,-13.0,66.35371043256998,-6.814292684559952
18.625,16.0,60.87355698051948,-15.0,66.49740343059936,-8.830657210917833
18.875,15.0,62.501271007345224,-15.0,67.58966350078492,-7.822824107888463
19.125,15.0,62.11795131128848,-15.0,66.94986423164269,-7.48740171982999
19.375,15.0,62.75165126760564,-15.0,67.10969543754673,-6.711841946065674
19.625,16.0,63.44203557588805,-15.0,67.15679883823529,-5.688815338991288
19.875,16.0,65.40636712357217,-15.0,65.15583217076701,0.3837786957622373
20.125,16.0,63.636098505869796,-15.0,65.0503632234957,-2.198000782087197
20.375,16.0,62.29549378684806,-15.0,64.21151330337078,-3.029112079390672
20.625,16.0,61.22802481236203,-14.0,63.4335382962963,-3.538401779884445
20.875,15.0,59.75750022727273,-14.0,62.91611793187349,-5.1496283422618845
21.125,15.0,58.83748291711518,-14.0,62.87749594652834,-6.638481257001506
21.375,14.0,59.86063711843712,-13.0,60.28838169449082,-0.7120234193833963
21.625,13.0,59.105460672748,-13.0,58.19695412371134,1.5489988856803674
21.875,13.0,57.70135416765053,-13.0,57.1366980944206,0.9833954200848489
22.125,13.0,54.78168642105263,-13.0,55.72585737774031,-1.7087900504001452
22.375,12.0,51.53352906048906,-13.0,52.930781645781124,-2.6750812327107982
22.625,11.0,49.855769018691596,-13.0,50.52524297533811,-1.3338657248969177
22.875,11.0,47.836913526570044,-12.0,48.54055273451328,-1.460173700846416
