Year DOY Hour f10_7
2024  60  0 161.1
2024  60  1 161.1
2024  60  2 161.1
2024  60  3 161.1
2024  60  4 161.1
2024  60  5 161.1
2024  60  6 161.1
2024  60  7 161.1
2024  60  8 161.1
2024  60  9 161.1
2024  60 10 161.1
2024  60 11 161.1
2024  60 12 161.1
2024  60 13 161.1
2024  60 14 161.1
2024  60 15 161.1
2024  60 16 161.1
2024  60 17 161.1
2024  60 18 161.1
2024  60 19 161.1
2024  60 20 161.1
2024  60 21 161.1
2024  60 22 161.1
2024  60 23 161.1
2024  61  0 150.1
2024  61  1 150.1
2024  61  2 150.1
2024  61  3 150.1
2024  61  4 150.1
2024  61  5 150.1
2024  61  6 150.1
2024  61  7 150.1
2024  61  8 150.1
2024  61  9 150.1
2024  61 10 150.1
2024  61 11 150.1
2024  61 12 150.1
2024  61 13 150.1
2024  61 14 150.1
2024  61 15 150.1
2024  61 16 150.1
2024  61 17 150.1
2024  61 18 150.1
2024  61 19 150.1
2024  61 20 150.1
2024  61 21 150.1
2024  61 22 150.1
2024  61 23 150.1
2024  62  0 149.7
2024  62  1 149.7
2024  62  2 149.7
2024  62  3 149.7
2024  62  4 149.7
2024  62  5 149.7
2024  62  6 149.7
2024  62  7 149.7
2024  62  8 149.7
2024  62  9 149.7
2024  62 10 149.7
2024  62 11 149.7
2024  62 12 149.7
2024  62 13 149.7
2024  62 14 149.7
2024  62 15 149.7
2024  62 16 149.7
2024  62 17 149.7
2024  62 18 149.7
2024  62 19 149.7
2024  62 20 149.7
2024  62 21 149.7
2024  62 22 149.7
2024  62 23 149.7
2024  63  0 143.1
2024  63  1 143.1
2024  63  2 143.1
2024  63  3 143.1
2024  63  4 143.1
2024  63  5 143.1
2024  63  6 143.1
2024  63  7 143.1
2024  63  8 143.1
2024  63  9 143.1
2024  63 10 143.1
2024  63 11 143.1
2024  63 12 143.1
2024  63 13 143.1
2024  63 14 143.1
2024  63 15 143.1
2024  63 16 143.1
2024  63 17 143.1
2024  63 18 143.1
2024  63 19 143.1
2024  63 20 143.1
2024  63 21 143.1
2024  63 22 143.1
2024  63 23 143.1
2024  64  0 137.6
2024  64  1 137.6
2024  64  2 137.6
2024  64  3 137.6
2024  64  4 137.6
2024  64  5 137.6
2024  64  6 137.6
2024  64  7 137.6
2024  64  8 137.6
2024  64  9 137.6
2024  64 10 137.6
2024  64 11 137.6
2024  64 12 137.6
2024  64 13 137.6
2024  64 14 137.6
2024  64 15 137.6
2024  64 16 137.6
2024  64 17 137.6
2024  64 18 137.6
2024  64 19 137.6
2024  64 20 137.6
2024  64 21 137.6
2024  64 22 137.6
2024  64 23 137.6
2024  65  0 139.2
2024  65  1 139.2
2024  65  2 139.2
2024  65  3 139.2
2024  65  4 139.2
2024  65  5 139.2
2024  65  6 139.2
2024  65  7 139.2
2024  65  8 139.2
2024  65  9 139.2
2024  65 10 139.2
2024  65 11 139.2
2024  65 12 139.2
2024  65 13 139.2
2024  65 14 139.2
2024  65 15 139.2
2024  65 16 139.2
2024  65 17 139.2
2024  65 18 139.2
2024  65 19 139.2
2024  65 20 139.2
2024  65 21 139.2
2024  65 22 139.2
2024  65 23 139.2
2024  66  0 133.9
2024  66  1 133.9
2024  66  2 133.9
2024  66  3 133.9
2024  66  4 133.9
2024  66  5 133.9
2024  66  6 133.9
2024  66  7 133.9
2024  66  8 133.9
2024  66  9 133.9
2024  66 10 133.9
2024  66 11 133.9
2024  66 12 133.9
2024  66 13 133.9
2024  66 14 133.9
2024  66 15 133.9
2024  66 16 133.9
2024  66 17 133.9
2024  66 18 133.9
2024  66 19 133.9
2024  66 20 133.9
2024  66 21 133.9
2024  66 22 133.9
2024  66 23 133.9
2024  67  0 134.5
2024  67  1 134.5
2024  67  2 134.5
2024  67  3 134.5
2024  67  4 134.5
2024  67  5 134.5
2024  67  6 134.5
2024  67  7 134.5
2024  67  8 134.5
2024  67  9 134.5
2024  67 10 134.5
2024  67 11 134.5
2024  67 12 134.5
2024  67 13 134.5
2024  67 14 134.5
2024  67 15 134.5
2024  67 16 134.5
2024  67 17 134.5
2024  67 18 134.5
2024  67 19 134.5
2024  67 20 134.5
2024  67 21 134.5
2024  67 22 134.5
2024  67 23 134.5
2024  68  0 127.2
2024  68  1 127.2
2024  68  2 127.2
2024  68  3 127.2
2024  68  4 127.2
2024  68  5 127.2
2024  68  6 127.2
2024  68  7 127.2
2024  68  8 127.2
2024  68  9 127.2
2024  68 10 127.2
2024  68 11 127.2
2024  68 12 127.2
2024  68 13 127.2
2024  68 14 127.2
2024  68 15 127.2
2024  68 16 127.2
2024  68 17 127.2
2024  68 18 127.2
2024  68 19 127.2
2024  68 20 127.2
2024  68 21 127.2
2024  68 22 127.2
2024  68 23 127.2
2024  69  0 132.6
2024  69  1 132.6
2024  69  2 132.6
2024  69  3 132.6
2024  69  4 132.6
2024  69  5 132.6
2024  69  6 132.6
2024  69  7 132.6
2024  69  8 132.6
2024  69  9 132.6
2024  69 10 132.6
2024  69 11 132.6
2024  69 12 132.6
2024  69 13 132.6
2024  69 14 132.6
2024  69 15 132.6
2024  69 16 132.6
2024  69 17 132.6
2024  69 18 132.6
2024  69 19 132.6
2024  69 20 132.6
2024  69 21 132.6
2024  69 22 132.6
2024  69 23 132.6
2024  70  0 125.3
2024  70  1 125.3
2024  70  2 125.3
2024  70  3 125.3
2024  70  4 125.3
2024  70  5 125.3
2024  70  6 125.3
2024  70  7 125.3
2024  70  8 125.3
2024  70  9 125.3
2024  70 10 125.3
2024  70 11 125.3
2024  70 12 125.3
2024  70 13 125.3
2024  70 14 125.3
2024  70 15 125.3
2024  70 16 125.3
2024  70 17 125.3
2024  70 18 125.3
2024  70 19 125.3
2024  70 20 125.3
2024  70 21 125.3
2024  70 22 125.3
2024  70 23 125.3
2024  71  0 125.1
2024  71  1 125.1
2024  71  2 125.1
2024  71  3 125.1
2024  71  4 125.1
2024  71  5 125.1
2024  71  6 125.1
2024  71  7 125.1
2024  71  8 125.1
2024  71  9 125.1
2024  71 10 125.1
2024  71 11 125.1
2024  71 12 125.1
2024  71 13 125.1
2024  71 14 125.1
2024  71 15 125.1
2024  71 16 125.1
2024  71 17 125.1
2024  71 18 125.1
2024  71 19 125.1
2024  71 20 125.1
2024  71 21 125.1
2024  71 22 125.1
2024  71 23 125.1
2024  72  0 128.9
2024  72  1 128.9
2024  72  2 128.9
