,DATETIME,VN1,VN2,DVN1,DVN2,VN1_SMOOTH,VN2_SMOOTH
0,2023-02-22 23:21:00,96.79,,0.5029,,96.79,30.705
1,2023-02-22 23:24:00,,41.14,,0.2146,96.79,30.705
2,2023-02-22 23:36:00,,20.27,,0.11,96.79,33.64
3,2023-02-22 23:55:00,,39.51,,0.2111,105.57666666666667,33.06666666666667
4,2023-02-22 23:57:00,106.74,,0.5697,,105.57666666666667,39.465
5,2023-02-23 00:02:00,,39.42,,0.2113,105.57666666666667,38.78333333333334
6,2023-02-23 00:04:00,106.42,,0.5719,,105.10499999999999,38.78333333333334
7,2023-02-23 00:10:00,103.57,,0.5606,,105.10499999999999,38.197500000000005
8,2023-02-23 00:21:00,,37.42,,0.2068,101.652,34.552
9,2023-02-23 00:23:00,103.69,,0.5817,,101.652,33.334999999999994
10,2023-02-23 00:25:00,,36.44,,0.2045,100.46000000000001,33.334999999999994
11,2023-02-23 00:33:00,,32.13,,0.1877,99.42333333333333,26.85
12,2023-02-23 00:36:00,96.79,,0.5742,,93.04499999999999,26.85
13,2023-02-23 00:38:00,,27.35,,0.1625,93.04499999999999,23.13
14,2023-02-23 00:40:00,97.79,,0.6057,,86.298,23.13
15,2023-02-23 00:52:00,,0.91,,0.1165,70.04666666666667,13.418333333333335
16,2023-02-23 00:54:00,73.91,,0.5404,,70.04666666666667,9.676
17,2023-02-23 00:57:00,,4.53,,0.0423,64.69800000000001,9.676
18,2023-02-23 00:59:00,59.31,,0.4948,,64.69800000000001,5.2575
19,2023-02-23 01:04:00,,13.05,,0.1458,56.425,5.714
20,2023-02-23 01:07:00,50.57,,0.5493,,49.79,5.714
21,2023-02-23 01:09:00,,2.54,,0.0298,49.79,5.615000000000001
22,2023-02-23 01:12:00,41.91,,0.634,,46.51333333333333,6.556000000000002
23,2023-02-23 01:23:00,,7.54,,0.5225,45.61666666666667,6.416666666666667
24,2023-02-23 01:25:00,23.25,,0.3167,,45.61666666666667,5.09
25,2023-02-23 01:28:00,,5.12,,0.1557,44.626,5.09
26,2023-02-23 01:30:00,30.13,,0.4209,,44.626,5.7275
27,2023-02-23 01:35:00,,1.23,,0.0178,45.305,-0.18399999999999964
28,2023-02-23 01:38:00,52.72,,0.7465,,53.66600000000001,-0.18399999999999964
29,2023-02-23 01:40:00,,9.02,,0.1321,53.66600000000001,-5.798333333333332
30,2023-02-23 01:43:00,75.12,,1.1337,,56.68000000000001,-8.465999999999998
31,2023-02-23 01:54:00,,-23.83,,0.7255,69.205,-8.621666666666668
32,2023-02-23 01:56:00,87.11,,1.301,,69.205,-10.592
33,2023-02-23 01:59:00,,-33.87,,0.5054,72.502,-10.592
34,2023-02-23 02:01:00,71.75,,1.0456,,72.502,-15.495000000000001
35,2023-02-23 02:06:00,,-6.75,,0.269,71.8475,-21.254
36,2023-02-23 02:09:00,64.09,,0.8859,,68.77799999999999,-21.254
37,2023-02-23 02:11:00,,2.47,,0.0341,68.77799999999999,-30.261666666666667
38,2023-02-23 02:14:00,64.44,,0.9593,,66.96166666666666,-31.547999999999995
39,2023-02-23 02:25:00,,-44.29,,1.3018,60.318333333333335,-34.01333333333333
40,2023-02-23 02:27:00,56.5,,1.2253,,60.318333333333335,-39.465999999999994
41,2023-02-23 02:30:00,,-75.3,,1.9101,59.56400000000001,-39.465999999999994
42,2023-02-23 02:33:00,57.88,,1.2757,,59.56400000000001,-49.949999999999996
43,2023-02-23 02:37:00,,-65.39,,2.3372,58.345000000000006,-34.559999999999995
44,2023-02-23 02:40:00,58.63,,1.2256,,62.71600000000001,-34.559999999999995
45,2023-02-23 02:42:00,,-14.82,,0.3977,62.71600000000001,-23.735
46,2023-02-23 02:45:00,60.37,,1.2459,,66.28500000000001,-19.624000000000002
47,2023-02-23 02:56:00,,27.0,,0.5567,74.51666666666667,9.07666666666667
48,2023-02-23 02:58:00,80.2,,1.655,,74.51666666666667,23.970000000000006
49,2023-02-23 03:01:00,,30.39,,0.6903,77.694,23.970000000000006
50,2023-02-23 03:03:00,84.13,,1.7902,,77.694,33.667500000000004
51,2023-02-23 03:09:00,,50.0,,1.168,82.025,17.276000000000003
52,2023-02-23 03:11:00,81.51,,1.7936,,83.4,17.276000000000003
53,2023-02-23 03:13:00,,27.28,,1.7308,83.4,11.053333333333336
54,2023-02-23 03:16:00,82.26,,1.7988,,84.80666666666667,7.8640000000000025
55,2023-02-23 03:27:00,,-48.29,,1.177,88.90833333333335,16.98
56,2023-02-23 03:30:00,88.9,,1.9216,,88.90833333333335,10.376000000000001
57,2023-02-23 03:32:00,,-20.06,,0.7082,90.388,10.376000000000001
58,2023-02-23 03:34:00,91.84,,1.9986,,90.388,6.150000000000002
59,2023-02-23 03:40:00,,43.16,,0.942,92.42000000000002,14.388000000000002
60,2023-02-23 03:42:00,103.39,,2.3176,,76.38000000000001,14.388000000000002
61,2023-02-23 03:45:00,,49.79,,1.112,76.38000000000001,18.105
62,2023-02-23 03:47:00,85.55,,2.5123,,67.76333333333334,31.384000000000004
63,2023-02-23 03:58:00,,47.34,,1.2526,52.001666666666665,26.431666666666672
64,2023-02-23 04:01:00,12.22,,0.3024,,52.001666666666665,23.086000000000006
65,2023-02-23 04:03:00,,36.69,,27.8121,41.724000000000004,23.086000000000006
66,2023-02-23 04:06:00,24.68,,0.8232,,41.724000000000004,16.410000000000004
67,2023-02-23 04:10:00,,-3.28,,0.0724,30.7675,11.706
68,2023-02-23 04:13:00,43.69,,0.9692,,31.875999999999998,11.706
69,2023-02-23 04:16:00,,-15.11,,0.3086,31.875999999999998,10.308333333333334
70,2023-02-23 04:18:00,42.48,,0.88,,30.988333333333333,2.902000000000001
71,2023-02-23 04:29:00,,-7.11,,0.1314,35.66166666666667,7.021666666666667
72,2023-02-23 04:31:00,36.31,,0.6798,,35.66166666666667,9.082
73,2023-02-23 04:34:00,,3.32,,0.115,34.056,9.082
74,2023-02-23 04:37:00,26.55,,0.4457,,34.056,15.13
75,2023-02-23 04:42:00,,28.9,,0.4855,31.950000000000003,15.290000000000001
76,2023-02-23 04:44:00,33.04,,0.441,,24.268,15.290000000000001
77,2023-02-23 04:46:00,,35.41,,0.5673,24.268,13.776666666666666
78,2023-02-23 04:49:00,31.9,,1.3093,,19.623333333333335,17.954
79,2023-02-23 05:00:00,,15.93,,0.1885,7.781666666666667,13.469999999999999
80,2023-02-23 05:03:00,-6.46,,0.0731,,7.781666666666667,10.384
81,2023-02-23 05:05:00,,6.21,,0.8674,2.7299999999999995,10.384
82,2023-02-23 05:08:00,-3.6,,0.0376,,2.7299999999999995,4.127500000000001
83,2023-02-23 05:13:00,,-2.28,,0.0222,-4.5625,4.374000000000001
84,2023-02-23 05:15:00,-3.33,,0.0618,,-1.422,4.374000000000001
85,2023-02-23 05:18:00,,-3.35,,0.0294,-1.422,6.366666666666667
86,2023-02-23 05:20:00,-4.86,,0.3201,,1.3433333333333335,4.454000000000001
87,2023-02-23 05:31:00,,5.36,,0.038,7.29,11.456666666666669
88,2023-02-23 05:34:00,11.14,,0.0839,,7.29,14.204000000000002
89,2023-02-23 05:36:00,,16.33,,0.1565,9.414,14.204000000000002
90,2023-02-23 05:39:00,15.17,,0.1093,,9.414,18.5925
91,2023-02-23 05:44:00,,28.05,,0.1893,12.9825,18.248
92,2023-02-23 05:46:00,15.54,,0.1142,,12.9825,18.248
93,2023-02-23 05:49:00,,24.63,,0.1625,12.9825,18.248
94,2023-02-23 05:51:00,10.08,,0.0745,,15.530000000000001,21.470000000000002
95,2023-02-23 06:03:00,,16.87,,0.1036,17.113333333333333,23.183333333333337
96,2023-02-23 06:10:00,25.72,,0.1551,,17.900000000000006,16.87
97,2023-02-23 06:33:00,,26.06,,0.1567,-5.77,14.35
98,2023-02-23 06:36:00,-2.84,,0.023,,-3.31,14.35
99,2023-02-23 06:41:00,-8.7,,0.2919,,-3.31,14.35
100,2023-02-23 06:46:00,,9.04,,0.0562,-3.31,10.792499999999999
101,2023-02-23 06:51:00,,7.95,,0.0522,-2.8575,8.41
102,2023-02-23 06:54:00,1.61,,0.0126,,-2.44,3.9974999999999996
103,2023-02-23 07:04:00,,0.12,,0.0009,-1.5125,3.982
