,DATETIME,VN1,VN2,DVN1,DVN2,VN1_SMOOTH,VN2_SMOOTH
0,2023-02-21 22:27:00,-42.63,,0.4185,,-22.19,-8.959999999999999
1,2023-02-21 22:40:00,,-16.95,,0.1514,-6.397500000000001,-4.5525
2,2023-02-21 22:43:00,-1.75,,0.018,,-4.204000000000001,-4.5525
3,2023-02-21 22:46:00,,-0.97,,0.0386,-4.204000000000001,-4.5525
4,2023-02-21 22:48:00,8.79,,0.5867,,5.4025,-4.5525
5,2023-02-21 22:53:00,,5.82,,0.1357,7.4879999999999995,-4.5525
6,2023-02-21 22:55:00,10.0,,0.3319,,7.4879999999999995,-5.811999999999999
7,2023-02-21 22:58:00,,-6.11,,0.1345,8.121666666666666,-5.811999999999999
8,2023-02-21 23:01:00,4.57,,0.1353,,8.121666666666666,-3.0275
9,2023-02-21 23:12:00,15.83,,0.5923,,6.466666666666666,-9.315
10,2023-02-21 23:14:00,,-10.85,,0.3313,6.466666666666666,-14.36
11,2023-02-21 23:16:00,11.29,,0.4261,,5.76,-14.36
12,2023-02-21 23:24:00,2.18,,0.0707,,1.8119999999999998,-18.485
13,2023-02-21 23:27:00,,-26.12,,0.8024,0.7483333333333331,-18.485
14,2023-02-21 23:29:00,-5.07,,0.1645,,0.7483333333333331,-18.485
15,2023-02-21 23:40:00,-15.17,,0.416,,-0.7566666666666672,-15.17
16,2023-02-21 23:45:00,-4.57,,0.1579,,-1.344,-15.17
17,2023-02-21 23:52:00,9.68,,0.2786,,-2.17,-2.390000000000001
18,2023-02-21 23:55:00,,-4.22,,0.1019,-4.486666666666667,-2.390000000000001
19,2023-02-21 23:58:00,8.41,,0.2367,,-4.486666666666667,-2.390000000000001
20,2023-02-22 00:06:00,,-0.83,,0.0195,1.96,-8.456
21,2023-02-22 00:09:00,-9.2,,0.2144,,1.96,-8.456
22,2023-02-22 00:11:00,,-2.12,,0.0494,1.96,-8.456
23,2023-02-22 00:13:00,-16.07,,0.3886,,0.41600000000000004,-8.456
24,2023-02-22 00:19:00,,-12.25,,0.3127,2.4040000000000004,-15.406
25,2023-02-22 00:21:00,1.84,,0.062,,2.4040000000000004,-17.405
26,2023-02-22 00:24:00,,-22.86,,1.1632,5.195,-17.405
27,2023-02-22 00:26:00,17.1,,0.4641,,5.195,-20.720000000000002
28,2023-02-22 00:34:00,,-38.97,,0.8088,14.98,-20.478333333333335
29,2023-02-22 00:37:00,18.35,,6.2402,,14.448333333333332,-20.478333333333335
30,2023-02-22 00:40:00,,-27.4,,0.8851,14.448333333333332,-22.124000000000002
31,2023-02-22 00:42:00,19.15,,0.3382,,16.97,-22.124000000000002
32,2023-02-22 00:47:00,,-10.84,,0.2034,16.058,-17.746000000000002
33,2023-02-22 00:49:00,18.46,,0.3631,,16.058,-15.726666666666667
34,2023-02-22 00:52:00,,-10.55,,0.2066,15.729999999999999,-15.726666666666667
35,2023-02-22 00:55:00,11.79,,0.2344,,15.729999999999999,-11.078
36,2023-02-22 01:03:00,,-0.97,,0.0208,12.573333333333332,-11.88
37,2023-02-22 01:06:00,12.54,,1.2521,,12.573333333333332,-11.88
38,2023-02-22 01:09:00,,-5.63,,0.1819,11.395999999999999,-12.088
39,2023-02-22 01:11:00,14.09,,0.2957,,11.395999999999999,-12.088
40,2023-02-22 01:16:00,,-21.68,,0.4229,8.756,-14.112
41,2023-02-22 01:18:00,9.55,,0.1859,,8.756,-15.773333333333333
42,2023-02-22 01:21:00,,-21.61,,0.5128,6.656666666666666,-15.773333333333333
43,2023-02-22 01:23:00,9.01,,0.1566,,6.656666666666666,-18.734
44,2023-02-22 01:32:00,,-20.67,,0.3427,2.848333333333333,-20.343333333333334
45,2023-02-22 01:34:00,-1.41,,0.0219,,2.848333333333333,-20.343333333333334
46,2023-02-22 01:37:00,,-24.08,,0.3892,2.848333333333333,-20.076
47,2023-02-22 01:40:00,-3.84,,0.0568,,1.5079999999999998,-20.076
48,2023-02-22 01:45:00,,-19.54,,0.2711,4.874,-19.212
49,2023-02-22 01:47:00,1.11,,0.0155,,4.874,-19.66
50,2023-02-22 01:49:00,,-14.48,,0.1717,9.483333333333333,-19.66
51,2023-02-22 01:52:00,2.67,,0.0337,,9.483333333333333,-19.458
52,2023-02-22 02:01:00,,-17.29,,0.1937,20.03333333333333,-10.291666666666666
53,2023-02-22 02:03:00,25.84,,0.3293,,20.03333333333333,-10.291666666666666
54,2023-02-22 02:06:00,,-21.9,,0.5044,20.03333333333333,-8.442
55,2023-02-22 02:08:00,32.53,,0.3159,,23.817999999999998,-8.442
56,2023-02-22 02:13:00,,-2.66,,2.2574,26.45,-3.018
57,2023-02-22 02:16:00,28.15,,0.2498,,26.45,0.1633333333333337
58,2023-02-22 02:18:00,,14.12,,0.2756,23.368333333333336,0.1633333333333337
59,2023-02-22 02:21:00,29.9,,0.2707,,23.368333333333336,3.654000000000001
60,2023-02-22 02:29:00,,12.64,,0.1213,18.548333333333332,10.396666666666667
61,2023-02-22 02:31:00,15.83,,0.2086,,18.548333333333332,10.396666666666667
62,2023-02-22 02:34:00,,16.07,,0.1722,18.548333333333332,13.008000000000001
63,2023-02-22 02:37:00,7.96,,0.0901,,16.627999999999997,13.008000000000001
64,2023-02-22 02:42:00,,14.97,,0.4497,16.1,12.972
65,2023-02-22 02:44:00,12.56,,0.246,,16.1,13.686666666666667
66,2023-02-22 02:46:00,,7.24,,0.0895,18.48,13.686666666666667
67,2023-02-22 02:49:00,16.89,,0.2104,,18.48,13.896
68,2023-02-22 02:58:00,,13.94,,0.4852,22.399999999999995,12.458333333333334
69,2023-02-22 03:00:00,27.26,,0.296,,22.399999999999995,12.458333333333334
70,2023-02-22 03:03:00,,17.26,,0.2056,22.399999999999995,11.956
71,2023-02-22 03:06:00,30.38,,0.3187,,24.367999999999995,13.135
72,2023-02-22 03:10:00,,12.02,,0.1654,22.606,10.848
73,2023-02-22 03:13:00,25.65,,0.2659,,22.606,9.040000000000001
74,2023-02-22 03:15:00,,9.32,,0.0985,20.031666666666666,9.040000000000001
75,2023-02-22 03:18:00,21.66,,0.2285,,20.031666666666666,8.06
76,2023-02-22 03:27:00,,1.7,,0.0204,17.941666666666666,4.876666666666666
77,2023-02-22 03:29:00,8.08,,0.243,,17.941666666666666,4.876666666666666
78,2023-02-22 03:31:00,,-0.0,,0.0,17.941666666666666,3.4479999999999995
79,2023-02-22 03:34:00,7.16,,0.0975,,16.4,3.4479999999999995
80,2023-02-22 03:39:00,,3.21,,0.0449,16.436,2.548
81,2023-02-22 03:42:00,20.92,,0.9344,,16.436,3.311666666666667
