Year  DOY  Hour  Kp  F10.7
1999 244  0 30 165.8
1999 244  1 30 165.8
1999 244  2 30 165.8
1999 244  3 43 165.8
1999 244  4 43 165.8
1999 244  5 43 165.8
1999 244  6 43 165.8
1999 244  7 43 165.8
1999 244  8 43 165.8
1999 244  9 30 165.8
1999 244 10 30 165.8
1999 244 11 30 165.8
1999 244 12 37 165.8
1999 244 13 37 165.8
1999 244 14 37 165.8
1999 244 15 30 165.8
1999 244 16 30 165.8
1999 244 17 30 165.8
1999 244 18 30 165.8
1999 244 19 30 165.8
1999 244 20 30 165.8
1999 244 21 30 165.8
1999 244 22 30 165.8
1999 244 23 30 165.8
1999 245  0 33 159.3
1999 245  1 33 159.3
1999 245  2 33 159.3
1999 245  3 27 159.3
1999 245  4 27 159.3
1999 245  5 27 159.3
1999 245  6 27 159.3
1999 245  7 27 159.3
1999 245  8 27 159.3
1999 245  9 17 159.3
1999 245 10 17 159.3
1999 245 11 17 159.3
1999 245 12 17 159.3
1999 245 13 17 159.3
1999 245 14 17 159.3
1999 245 15 20 159.3
1999 245 16 20 159.3
1999 245 17 20 159.3
1999 245 18 20 159.3
1999 245 19 20 159.3
1999 245 20 20 159.3
1999 245 21 10 159.3
1999 245 22 10 159.3
1999 245 23 10 159.3
1999 246  0 13 141.7
1999 246  1 13 141.7
1999 246  2 13 141.7
1999 246  3 33 141.7
1999 246  4 33 141.7
1999 246  5 33 141.7
1999 246  6 40 141.7
1999 246  7 40 141.7
1999 246  8 40 141.7
1999 246  9 37 141.7
1999 246 10 37 141.7
1999 246 11 37 141.7
1999 246 12 33 141.7
1999 246 13 33 141.7
1999 246 14 33 141.7
1999 246 15 30 141.7
1999 246 16 30 141.7
1999 246 17 30 141.7
1999 246 18 10 141.7
1999 246 19 10 141.7
1999 246 20 10 141.7
1999 246 21 23 141.7
1999 246 22 23 141.7
1999 246 23 23 141.7
1999 247  0 23 133.5
1999 247  1 23 133.5
1999 247  2 23 133.5
1999 247  3 33 133.5
1999 247  4 33 133.5
1999 247  5 33 133.5
1999 247  6 33 133.5
1999 247  7 33 133.5
1999 247  8 33 133.5
1999 247  9 27 133.5
1999 247 10 27 133.5
1999 247 11 27 133.5
1999 247 12 20 133.5
1999 247 13 20 133.5
1999 247 14 20 133.5
1999 247 15 27 133.5
1999 247 16 27 133.5
1999 247 17 27 133.5
1999 247 18 20 133.5
1999 247 19 20 133.5
1999 247 20 20 133.5
1999 247 21 20 133.5
1999 247 22 20 133.5
1999 247 23 20 133.5
1999 248  0 17 123.8
1999 248  1 17 123.8
1999 248  2 17 123.8
1999 248  3 30 123.8
1999 248  4 30 123.8
1999 248  5 30 123.8
1999 248  6 10 123.8
1999 248  7 10 123.8
1999 248  8 10 123.8
1999 248  9 13 123.8
1999 248 10 13 123.8
1999 248 11 13 123.8
1999 248 12 13 123.8
1999 248 13 13 123.8
1999 248 14 13 123.8
1999 248 15  7 123.8
1999 248 16  7 123.8
1999 248 17  7 123.8
1999 248 18 10 123.8
1999 248 19 10 123.8
1999 248 20 10 123.8
1999 248 21 17 123.8
1999 248 22 17 123.8
1999 248 23 17 123.8
1999 249  0 10 120.4
1999 249  1 10 120.4
1999 249  2 10 120.4
1999 249  3 10 120.4
1999 249  4 10 120.4
1999 249  5 10 120.4
1999 249  6 17 120.4
1999 249  7 17 120.4
1999 249  8 17 120.4
1999 249  9 13 120.4
1999 249 10 13 120.4
1999 249 11 13 120.4
1999 249 12  7 120.4
1999 249 13  7 120.4
1999 249 14  7 120.4
1999 249 15 17 120.4
1999 249 16 17 120.4
1999 249 17 17 120.4
1999 249 18 20 120.4
1999 249 19 20 120.4
1999 249 20 20 120.4
1999 249 21 20 120.4
1999 249 22 20 120.4
1999 249 23 20 120.4
1999 250  0 17 114.1
1999 250  1 17 114.1
1999 250  2 17 114.1
1999 250  3 17 114.1
1999 250  4 17 114.1
1999 250  5 17 114.1
1999 250  6 33 114.1
1999 250  7 33 114.1
1999 250  8 33 114.1
1999 250  9 40 114.1
1999 250 10 40 114.1
1999 250 11 40 114.1
1999 250 12 27 114.1
1999 250 13 27 114.1
1999 250 14 27 114.1
1999 250 15 27 114.1
1999 250 16 27 114.1
1999 250 17 27 114.1
1999 250 18 40 114.1
1999 250 19 40 114.1
1999 250 20 40 114.1
1999 250 21 43 114.1
1999 250 22 43 114.1
1999 250 23 43 114.1
1999 251  0 30 108.4
1999 251  1 30 108.4
1999 251  2 30 108.4
1999 251  3 10 108.4
1999 251  4 10 108.4
1999 251  5 10 108.4
1999 251  6 10 108.4
1999 251  7 10 108.4
1999 251  8 10 108.4
1999 251  9 13 108.4
1999 251 10 13 108.4
1999 251 11 13 108.4
1999 251 12 23 108.4
1999 251 13 23 108.4
1999 251 14 23 108.4
1999 251 15 30 108.4
1999 251 16 30 108.4
1999 251 17 30 108.4
1999 251 18 10 108.4
1999 251 19 10 108.4
1999 251 20 10 108.4
1999 251 21 27 108.4
1999 251 22 27 108.4
1999 251 23 27 108.4
1999 252  0 27 108.0
1999 252  1 27 108.0
1999 252  2 27 108.0
1999 252  3 20 108.0
1999 252  4 20 108.0
1999 252  5 20 108.0
1999 252  6 20 108.0
1999 252  7 20 108.0
1999 252  8 20 108.0
1999 252  9 17 108.0
1999 252 10 17 108.0
1999 252 11 17 108.0
1999 252 12 37 108.0
1999 252 13 37 108.0
1999 252 14 37 108.0
1999 252 15 17 108.0
1999 252 16 17 108.0
1999 252 17 17 108.0
1999 252 18 17 108.0
1999 252 19 17 108.0
1999 252 20 17 108.0
1999 252 21 10 108.0
1999 252 22 10 108.0
1999 252 23 10 108.0
1999 253  0 23 123.7
1999 253  1 23 123.7
1999 253  2 23 123.7
1999 253  3 30 123.7
1999 253  4 30 123.7
1999 253  5 30 123.7
1999 253  6 33 123.7
1999 253  7 33 123.7
1999 253  8 33 123.7
1999 253  9 30 123.7
1999 253 10 30 123.7
1999 253 11 30 123.7
1999 253 12 37 123.7
1999 253 13 37 123.7
1999 253 14 37 123.7
1999 253 15 23 123.7
1999 253 16 23 123.7
1999 253 17 23 123.7
1999 253 18 33 123.7
1999 253 19 33 123.7
1999 253 20 33 123.7
1999 253 21 33 123.7
1999 253 22 33 123.7
1999 253 23 33 123.7
1999 254  0 40 124.1
1999 254  1 40 124.1
1999 254  2 40 124.1
1999 254  3 37 124.1
1999 254  4 37 124.1
1999 254  5 37 124.1
1999 254  6 17 124.1
1999 254  7 17 124.1
1999 254  8 17 124.1
1999 254  9 17 124.1
1999 254 10 17 124.1
1999 254 11 17 124.1
1999 254 12 17 124.1
1999 254 13 17 124.1
1999 254 14 17 124.1
1999 254 15 10 124.1
1999 254 16 10 124.1
1999 254 17 10 124.1
1999 254 18 10 124.1
1999 254 19 10 124.1
1999 254 20 10 124.1
1999 254 21 13 124.1
1999 254 22 13 124.1
1999 254 23 13 124.1
1999 255  0 27 142.6
1999 255  1 27 142.6
1999 255  2 27 142.6
1999 255  3 33 142.6
1999 255  4 33 142.6
1999 255  5 33 142.6
1999 255  6 20 142.6
1999 255  7 20 142.6
1999 255  8 20 142.6
1999 255  9 50 142.6
1999 255 10 50 142.6
1999 255 11 50 142.6
1999 255 12 30 142.6
1999 255 13 30 142.6
1999 255 14 30 142.6
1999 255 15 37 142.6
1999 255 16 37 142.6
1999 255 17 37 142.6
1999 255 18 60 142.6
1999 255 19 60 142.6
1999 255 20 60 142.6
1999 255 21 50 142.6
1999 255 22 50 142.6
1999 255 23 50 142.6
1999 256  0 57 156.5
1999 256  1 57 156.5
1999 256  2 57 156.5
1999 256  3 60 156.5
1999 256  4 60 156.5
1999 256  5 60 156.5
1999 256  6 47 156.5
1999 256  7 47 156.5
1999 256  8 47 156.5
