Year  DOY  Hour  Kp  F10.7
2007 334  0  0  69.2
2007 334  1  0  69.2
2007 334  2  0  69.2
2007 334  3  0  69.2
2007 334  4  0  69.2
2007 334  5  0  69.2
2007 334  6  7  69.2
2007 334  7  7  69.2
2007 334  8  7  69.2
2007 334  9  7  69.2
2007 334 10  7  69.2
2007 334 11  7  69.2
2007 334 12  7  69.2
2007 334 13  7  69.2
2007 334 14  7  69.2
2007 334 15  7  69.2
2007 334 16  7  69.2
2007 334 17  7  69.2
2007 334 18 13  69.2
2007 334 19 13  69.2
2007 334 20 13  69.2
2007 334 21 10  69.2
2007 334 22 10  69.2
2007 334 23 10  69.2
2007 335  0 30  69.9
2007 335  1 30  69.9
2007 335  2 30  69.9
2007 335  3  3  69.9
2007 335  4  3  69.9
2007 335  5  3  69.9
2007 335  6  7  69.9
2007 335  7  7  69.9
2007 335  8  7  69.9
2007 335  9 10  69.9
2007 335 10 10  69.9
2007 335 11 10  69.9
2007 335 12  0  69.9
2007 335 13  0  69.9
2007 335 14  0  69.9
2007 335 15  0  69.9
2007 335 16  0  69.9
2007 335 17  0  69.9
2007 335 18  0  69.9
2007 335 19  0  69.9
2007 335 20  0  69.9
2007 335 21  3  69.9
2007 335 22  3  69.9
2007 335 23  3  69.9
2007 336  0  0  71.0
2007 336  1  0  71.0
2007 336  2  0  71.0
2007 336  3 10  71.0
2007 336  4 10  71.0
2007 336  5 10  71.0
2007 336  6  7  71.0
2007 336  7  7  71.0
2007 336  8  7  71.0
2007 336  9  7  71.0
2007 336 10  7  71.0
2007 336 11  7  71.0
2007 336 12  0  71.0
2007 336 13  0  71.0
2007 336 14  0  71.0
2007 336 15  0  71.0
2007 336 16  0  71.0
2007 336 17  0  71.0
2007 336 18  3  71.0
2007 336 19  3  71.0
2007 336 20  3  71.0
2007 336 21  7  71.0
2007 336 22  7  71.0
2007 336 23  7  71.0
2007 337  0  0  70.5
2007 337  1  0  70.5
2007 337  2  0  70.5
2007 337  3  3  70.5
2007 337  4  3  70.5
2007 337  5  3  70.5
2007 337  6  0  70.5
2007 337  7  0  70.5
2007 337  8  0  70.5
2007 337  9  0  70.5
2007 337 10  0  70.5
2007 337 11  0  70.5
2007 337 12  3  70.5
2007 337 13  3  70.5
2007 337 14  3  70.5
2007 337 15  0  70.5
2007 337 16  0  70.5
2007 337 17  0  70.5
2007 337 18  3  70.5
2007 337 19  3  70.5
2007 337 20  3  70.5
2007 337 21  0  70.5
2007 337 22  0  70.5
2007 337 23  0  70.5
2007 338  0  3  71.5
2007 338  1  3  71.5
2007 338  2  3  71.5
2007 338  3  0  71.5
2007 338  4  0  71.5
2007 338  5  0  71.5
2007 338  6  0  71.5
2007 338  7  0  71.5
2007 338  8  0  71.5
2007 338  9  3  71.5
2007 338 10  3  71.5
2007 338 11  3  71.5
2007 338 12  3  71.5
2007 338 13  3  71.5
2007 338 14  3  71.5
2007 338 15  0  71.5
2007 338 16  0  71.5
2007 338 17  0  71.5
2007 338 18  3  71.5
2007 338 19  3  71.5
2007 338 20  3  71.5
2007 338 21  3  71.5
2007 338 22  3  71.5
2007 338 23  3  71.5
2007 339  0 20  73.1
2007 339  1 20  73.1
2007 339  2 20  73.1
2007 339  3  3  73.1
2007 339  4  3  73.1
2007 339  5  3  73.1
2007 339  6 10  73.1
2007 339  7 10  73.1
2007 339  8 10  73.1
2007 339  9  3  73.1
2007 339 10  3  73.1
2007 339 11  3  73.1
2007 339 12  3  73.1
2007 339 13  3  73.1
2007 339 14  3  73.1
2007 339 15  7  73.1
2007 339 16  7  73.1
2007 339 17  7  73.1
2007 339 18  0  73.1
2007 339 19  0  73.1
2007 339 20  0  73.1
2007 339 21  0  73.1
2007 339 22  0  73.1
2007 339 23  0  73.1
2007 340  0  0  75.9
2007 340  1  0  75.9
2007 340  2  0  75.9
2007 340  3 13  75.9
2007 340  4 13  75.9
2007 340  5 13  75.9
2007 340  6  7  75.9
2007 340  7  7  75.9
2007 340  8  7  75.9
2007 340  9  3  75.9
2007 340 10  3  75.9
2007 340 11  3  75.9
2007 340 12 13  75.9
2007 340 13 13  75.9
2007 340 14 13  75.9
2007 340 15  3  75.9
2007 340 16  3  75.9
2007 340 17  3  75.9
2007 340 18  7  75.9
2007 340 19  7  75.9
2007 340 20  7  75.9
2007 340 21  7  75.9
2007 340 22  7  75.9
2007 340 23  7  75.9
2007 341  0  7  79.8
2007 341  1  7  79.8
2007 341  2  7  79.8
2007 341  3 10  79.8
2007 341  4 10  79.8
2007 341  5 10  79.8
2007 341  6  0  79.8
2007 341  7  0  79.8
2007 341  8  0  79.8
2007 341  9  0  79.8
2007 341 10  0  79.8
2007 341 11  0  79.8
2007 341 12  0  79.8
2007 341 13  0  79.8
2007 341 14  0  79.8
2007 341 15  0  79.8
2007 341 16  0  79.8
2007 341 17  0  79.8
2007 341 18  3  79.8
2007 341 19  3  79.8
2007 341 20  3  79.8
2007 341 21  0  79.8
