Year  DOY  Hour  Kp  F10.7
2013 150  0  3 106.9
2013 150  1  3 106.9
2013 150  2  3 106.9
2013 150  3  0 106.9
2013 150  4  0 106.9
2013 150  5  0 106.9
2013 150  6  0 106.9
2013 150  7  0 106.9
2013 150  8  0 106.9
2013 150  9  3 106.9
2013 150 10  3 106.9
2013 150 11  3 106.9
2013 150 12  3 106.9
2013 150 13  3 106.9
2013 150 14  3 106.9
2013 150 15  7 106.9
2013 150 16  7 106.9
2013 150 17  7 106.9
2013 150 18  7 106.9
2013 150 19  7 106.9
2013 150 20  7 106.9
2013 150 21  0 106.9
2013 150 22  0 106.9
2013 150 23  0 106.9
2013 151  0  0 104.7
2013 151  1  0 104.7
2013 151  2  0 104.7
2013 151  3  3 104.7
2013 151  4  3 104.7
2013 151  5  3 104.7
2013 151  6  3 104.7
2013 151  7  3 104.7
2013 151  8  3 104.7
2013 151  9  7 104.7
2013 151 10  7 104.7
2013 151 11  7 104.7
2013 151 12 13 104.7
2013 151 13 13 104.7
2013 151 14 13 104.7
2013 151 15 33 104.7
2013 151 16 33 104.7
2013 151 17 33 104.7
2013 151 18 37 104.7
2013 151 19 37 104.7
2013 151 20 37 104.7
2013 151 21 37 104.7
2013 151 22 37 104.7
2013 151 23 37 104.7
2013 152  0 57 108.8
2013 152  1 57 108.8
2013 152  2 57 108.8
2013 152  3 70 108.8
2013 152  4 70 108.8
2013 152  5 70 108.8
2013 152  6 63 108.8
2013 152  7 63 108.8
2013 152  8 63 108.8
2013 152  9 50 108.8
2013 152 10 50 108.8
2013 152 11 50 108.8
2013 152 12 57 108.8
2013 152 13 57 108.8
2013 152 14 57 108.8
2013 152 15 33 108.8
2013 152 16 33 108.8
2013 152 17 33 108.8
2013 152 18 37 108.8
2013 152 19 37 108.8
2013 152 20 37 108.8
2013 152 21 30 108.8
2013 152 22 30 108.8
2013 152 23 30 108.8
2013 153  0 40 114.1
2013 153  1 40 114.1
2013 153  2 40 114.1
2013 153  3 33 114.1
2013 153  4 33 114.1
2013 153  5 33 114.1
2013 153  6 33 114.1
2013 153  7 33 114.1
2013 153  8 33 114.1
2013 153  9 30 114.1
2013 153 10 30 114.1
2013 153 11 30 114.1
2013 153 12 33 114.1
2013 153 13 33 114.1
2013 153 14 33 114.1
2013 153 15 27 114.1
2013 153 16 27 114.1
2013 153 17 27 114.1
2013 153 18 30 114.1
2013 153 19 30 114.1
2013 153 20 30 114.1
2013 153 21 27 114.1
2013 153 22 27 114.1
2013 153 23 27 114.1
2013 154  0 30 115.0
2013 154  1 30 115.0
2013 154  2 30 115.0
2013 154  3 20 115.0
2013 154  4 20 115.0
2013 154  5 20 115.0
2013 154  6 17 115.0
2013 154  7 17 115.0
2013 154  8 17 115.0
2013 154  9 17 115.0
2013 154 10 17 115.0
2013 154 11 17 115.0
2013 154 12 13 115.0
2013 154 13 13 115.0
2013 154 14 13 115.0
2013 154 15 20 115.0
2013 154 16 20 115.0
2013 154 17 20 115.0
2013 154 18 27 115.0
2013 154 19 27 115.0
2013 154 20 27 115.0
2013 154 21 30 115.0
2013 154 22 30 115.0
2013 154 23 30 115.0
2013 155  0 30 113.1
2013 155  1 30 113.1
2013 155  2 30 113.1
2013 155  3 23 113.1
2013 155  4 23 113.1
2013 155  5 23 113.1
2013 155  6 20 113.1
2013 155  7 20 113.1
2013 155  8 20 113.1
2013 155  9 13 113.1
2013 155 10 13 113.1
