Year  DOY  Hour  Kp  F10.7
2015  59  0  7 121.1
2015  59  1  7 121.1
2015  59  2  7 121.1
2015  59  3 27 121.1
2015  59  4 27 121.1
2015  59  5 27 121.1
2015  59  6 23 121.1
2015  59  7 23 121.1
2015  59  8 23 121.1
2015  59  9 20 121.1
2015  59 10 20 121.1
2015  59 11 20 121.1
2015  59 12 20 121.1
2015  59 13 20 121.1
2015  59 14 20 121.1
2015  59 15 30 121.1
2015  59 16 30 121.1
2015  59 17 30 121.1
2015  59 18 37 121.1
2015  59 19 37 121.1
2015  59 20 37 121.1
2015  59 21 30 121.1
2015  59 22 30 121.1
2015  59 23 30 121.1
2015  60  0 50 125.3
2015  60  1 50 125.3
2015  60  2 50 125.3
2015  60  3 50 125.3
2015  60  4 50 125.3
2015  60  5 50 125.3
2015  60  6 53 125.3
2015  60  7 53 125.3
2015  60  8 53 125.3
2015  60  9 37 125.3
2015  60 10 37 125.3
2015  60 11 37 125.3
2015  60 12 20 125.3
2015  60 13 20 125.3
2015  60 14 20 125.3
2015  60 15 13 125.3
2015  60 16 13 125.3
2015  60 17 13 125.3
2015  60 18 23 125.3
2015  60 19 23 125.3
2015  60 20 23 125.3
2015  60 21 27 125.3
2015  60 22 27 125.3
2015  60 23 27 125.3
2015  61  0 40 128.1
2015  61  1 40 128.1
2015  61  2 40 128.1
2015  61  3 43 128.1
2015  61  4 43 128.1
2015  61  5 43 128.1
2015  61  6 53 128.1
2015  61  7 53 128.1
2015  61  8 53 128.1
2015  61  9 47 128.1
2015  61 10 47 128.1
2015  61 11 47 128.1
2015  61 12 37 128.1
2015  61 13 37 128.1
2015  61 14 37 128.1
2015  61 15 37 128.1
2015  61 16 37 128.1
2015  61 17 37 128.1
2015  61 18 30 128.1
2015  61 19 30 128.1
2015  61 20 30 128.1
2015  61 21 20 128.1
2015  61 22 20 128.1
2015  61 23 20 128.1
2015  62  0 30 122.9
2015  62  1 30 122.9
2015  62  2 30 122.9
2015  62  3 30 122.9
2015  62  4 30 122.9
2015  62  5 30 122.9
2015  62  6 20 122.9
2015  62  7 20 122.9
2015  62  8 20 122.9
2015  62  9 20 122.9
2015  62 10 20 122.9
2015  62 11 20 122.9
2015  62 12 17 122.9
2015  62 13 17 122.9
2015  62 14 17 122.9
2015  62 15 13 122.9
2015  62 16 13 122.9
2015  62 17 13 122.9
2015  62 18 23 122.9
2015  62 19 23 122.9
2015  62 20 23 122.9
2015  62 21 33 122.9
2015  62 22 33 122.9
2015  62 23 33 122.9
2015  63  0 20 122.1
2015  63  1 20 122.1
2015  63  2 20 122.1
2015  63  3 13 122.1
2015  63  4 13 122.1
2015  63  5 13 122.1
2015  63  6 17 122.1
2015  63  7 17 122.1
2015  63  8 17 122.1
2015  63  9 33 122.1
2015  63 10 33 122.1
2015  63 11 33 122.1
2015  63 12 30 122.1
2015  63 13 30 122.1
2015  63 14 30 122.1
2015  63 15  3 122.1
2015  63 16  3 122.1
2015  63 17  3 122.1
2015  63 18 17 122.1
2015  63 19 17 122.1
2015  63 20 17 122.1
2015  63 21 27 122.1
2015  63 22 27 122.1
2015  63 23 27 122.1
2015  64  0 13 137.9
2015  64  1 13 137.9
2015  64  2 13 137.9
2015  64  3  3 137.9
2015  64  4  3 137.9
2015  64  5  3 137.9
2015  64  6  3 137.9
2015  64  7  3 137.9
2015  64  8  3 137.9
2015  64  9 13 137.9
2015  64 10 13 137.9
2015  64 11 13 137.9
2015  64 12 20 137.9
2015  64 13 20 137.9
2015  64 14 20 137.9
2015  64 15 23 137.9
2015  64 16 23 137.9
2015  64 17 23 137.9
2015  64 18 17 137.9
2015  64 19 17 137.9
2015  64 20 17 137.9
2015  64 21 13 137.9
2015  64 22 13 137.9
2015  64 23 13 137.9
2015  65  0 13 125.4
2015  65  1 13 125.4
2015  65  2 13 125.4
2015  65  3 27 125.4
2015  65  4 27 125.4
2015  65  5 27 125.4
2015  65  6 37 125.4
2015  65  7 37 125.4
2015  65  8 37 125.4
2015  65  9 20 125.4
2015  65 10 20 125.4
2015  65 11 20 125.4
2015  65 12 17 125.4
2015  65 13 17 125.4
2015  65 14 17 125.4
2015  65 15 17 125.4
2015  65 16 17 125.4
2015  65 17 17 125.4
2015  65 18 20 125.4
2015  65 19 20 125.4
2015  65 20 20 125.4
2015  65 21 30 125.4
2015  65 22 30 125.4
2015  65 23 30 125.4
2015  66  0 37 135.7
2015  66  1 37 135.7
2015  66  2 37 135.7
2015  66  3 43 135.7
2015  66  4 43 135.7
2015  66  5 43 135.7
2015  66  6 33 135.7
2015  66  7 33 135.7
2015  66  8 33 135.7
2015  66  9 33 135.7
2015  66 10 33 135.7
2015  66 11 33 135.7
2015  66 12 30 135.7
2015  66 13 30 135.7
2015  66 14 30 135.7
2015  66 15 37 135.7
2015  66 16 37 135.7
2015  66 17 37 135.7
2015  66 18 33 135.7
2015  66 19 33 135.7
2015  66 20 33 135.7
2015  66 21 37 135.7
2015  66 22 37 135.7
2015  66 23 37 135.7
2015  67  0 27 122.3
2015  67  1 27 122.3
2015  67  2 27 122.3
2015  67  3 23 122.3
2015  67  4 23 122.3
2015  67  5 23 122.3
2015  67  6 27 122.3
2015  67  7 27 122.3
2015  67  8 27 122.3
2015  67  9 30 122.3
2015  67 10 30 122.3
2015  67 11 30 122.3
2015  67 12 37 122.3
2015  67 13 37 122.3
2015  67 14 37 122.3
2015  67 15 20 122.3
2015  67 16 20 122.3
2015  67 17 20 122.3
2015  67 18 17 122.3
2015  67 19 17 122.3
2015  67 20 17 122.3
2015  67 21  3 122.3
2015  67 22  3 122.3
2015  67 23  3 122.3
2015  68  0 33 121.2
2015  68  1 33 121.2
2015  68  2 33 121.2
2015  68  3 23 121.2
2015  68  4 23 121.2
2015  68  5 23 121.2
2015  68  6  3 121.2
2015  68  7  3 121.2
2015  68  8  3 121.2
2015  68  9  0 121.2
2015  68 10  0 121.2
2015  68 11  0 121.2
2015  68 12  7 121.2
2015  68 13  7 121.2
2015  68 14  7 121.2
2015  68 15 10 121.2
2015  68 16 10 121.2
2015  68 17 10 121.2
2015  68 18  3 121.2
2015  68 19  3 121.2
2015  68 20  3 121.2
2015  68 21 10 121.2
2015  68 22 10 121.2
2015  68 23 10 121.2
2015  69  0 13 119.2
2015  69  1 13 119.2
2015  69  2 13 119.2
2015  69  3 13 119.2
2015  69  4 13 119.2
2015  69  5 13 119.2
2015  69  6 17 119.2
2015  69  7 17 119.2
2015  69  8 17 119.2
2015  69  9 13 119.2
2015  69 10 13 119.2
2015  69 11 13 119.2
2015  69 12  7 119.2
2015  69 13  7 119.2
2015  69 14  7 119.2
2015  69 15  3 119.2
2015  69 16  3 119.2
2015  69 17  3 119.2
2015  69 18 10 119.2
2015  69 19 10 119.2
2015  69 20 10 119.2
2015  69 21  3 119.2
2015  69 22  3 119.2
2015  69 23  3 119.2
2015  70  0  3 129.9
2015  70  1  3 129.9
2015  70  2  3 129.9
2015  70  3 30 129.9
2015  70  4 30 129.9
2015  70  5 30 129.9
2015  70  6 27 129.9
2015  70  7 27 129.9
2015  70  8 27 129.9
2015  70  9 17 129.9
