mlat_n,tec_n,mlat_s,tec_s,mlt,asy
5.5,20.117262013322566,-16.5,22.429156381460356,13.125,-10.867633306691102
7.5,20.202012613898603,-16.5,23.027336191211997,13.375,-13.071321476762023
7.5,20.22696326034134,-16.5,23.618793440229663,13.625,-15.471646221328195
0.5,,-15.5,23.94057379450132,13.875,
0.5,,-15.5,24.003930159550748,14.125,
0.5,,-16.5,23.75429619256509,14.375,
1.5,,-16.5,23.858933111045786,14.625,
1.5,,-16.5,23.780930231466016,14.875,
0.5,,-16.5,23.58971737321495,15.125,
0.5,,-15.5,23.370022398579128,15.375,
0.5,,-15.5,23.286753529266903,15.625,
0.5,,-14.5,23.266767494127308,15.875,
0.5,,-13.5,23.22259911038029,16.125,
0.5,,-12.5,22.793753602375325,16.375,
0.5,,-11.5,22.071127133377814,16.625,
0.5,,-12.5,21.547777276007643,16.875,
0.5,,-11.5,21.098839126730187,17.125,
0.5,,-10.5,20.511350205427647,17.375,
0.5,,-10.5,19.572456702495135,17.625,
5.5,16.54395998223644,-12.5,18.911833702061482,17.875,-13.35676612352179
6.5,15.72335662690939,-12.5,18.498958882323148,18.125,-16.22100792487261
6.5,15.011740182199249,-13.5,17.994893827402123,18.375,-18.07608521568784
6.5,14.093366034666307,-13.5,16.888397744920276,18.625,-18.043076760501112
6.5,13.480448328151908,-16.5,15.633270897176985,18.875,-14.789059084915017
6.5,12.937887392916004,-36.5,15.014074498098573,19.125,-14.855394503453294
6.5,12.352308865462758,-38.5,14.819476440494833,19.375,-18.15977527609224
6.5,11.690133139057354,-39.5,15.14958166262976,19.625,-25.77857886444419
6.5,11.093322679237968,-38.5,15.091881441461553,19.875,-30.540596466557282
7.5,10.556048155543655,-39.5,15.102814516439093,20.125,-35.440123898087755
7.5,10.274930785698857,-39.5,14.984151093086517,20.375,-37.2873434591686
7.5,9.988226006992619,-39.5,14.627882450177854,20.625,-37.69610010662543
6.5,9.572146969783272,-38.5,14.550024746736787,20.875,-41.27221906429277
7.5,9.2469270797957,-37.5,14.19306902527795,21.125,-42.202583339266376
7.5,8.655671476721745,-39.5,14.076764002340413,21.375,-47.69477982780857
6.5,8.485379435410913,-39.5,14.090528015589303,21.625,-49.65602018296772
6.5,8.308363596579708,-39.5,13.89238917153058,21.875,-50.30483095124509
7.5,8.130293051273515,-38.5,13.637463212741016,22.125,-50.59933687857122
7.5,7.9447458637731785,-39.5,13.642902296999635,22.375,-52.79089589370506
39.5,7.900604529008386,-39.5,13.528550618825841,22.625,-52.52606601605807
39.5,7.715773502362209,-39.5,13.450618147084045,22.875,-54.188212518234
39.5,7.6721236491775535,-39.5,13.236783497292706,23.125,-53.22764895490534
39.5,7.607486312922459,-39.5,12.884888946706086,23.375,-51.506012035417776
39.5,7.72804641137851,-39.5,12.377864126755279,23.625,-46.253241866939696
39.5,7.911238180499061,-39.5,12.15176158459915,23.875,-42.27207749338606
