mlat_n,tec_n,mlat_s,tec_s,mlt,asy
13.5,54.94276313681222,-13.5,46.31894412978948,13.125,17.032734761854172
12.5,55.97970363444162,-13.5,47.82018023825013,13.375,15.72164262957936
13.5,57.286902980231446,-13.5,48.306187442389955,13.625,17.01004393733993
13.5,57.39016700066317,-13.5,48.14006744082366,13.875,17.530709770133978
13.5,56.93623378989782,-14.5,48.690779986915146,14.125,15.612395935769037
12.5,56.6894174836285,-14.5,49.57804079393208,14.375,13.383921672657634
12.5,56.09078794686695,-14.5,49.9612400119621,14.625,11.559511030349059
13.5,57.1004723909497,-14.5,51.05436825335925,14.875,11.18045961063249
13.5,54.83041089022669,-13.5,51.336112631213204,15.125,6.582674355552056
12.5,55.68332173520099,-13.5,51.487531099051246,15.375,7.83009657045251
12.5,54.4526784369879,-13.5,51.25830447003885,15.625,6.0435990265240775
11.5,54.024436883314486,-12.5,50.78166402328457,15.875,6.188137583554998
12.5,53.60321654671967,-12.5,49.421167628545234,16.125,8.118561351572737
12.5,52.571911841638304,-12.5,47.74583414533176,16.375,9.621583198118076
11.5,50.98184911794788,-12.5,44.82200076341238,16.625,12.859291901449916
12.5,48.649785329087685,-12.5,42.0444782402445,16.875,14.566096749423819
12.5,47.703729679529694,-11.5,39.344099237041505,17.125,19.206982061552083
12.5,45.72967103827165,-7.5,36.86523507521719,17.375,21.464849057094032
11.5,43.8525931621778,-6.5,35.64177480048408,17.625,20.657610273850597
12.5,43.14309845363281,-10.5,34.54336196196759,17.875,22.139601793308852
12.5,40.57520069801881,-11.5,34.69040099354264,18.125,15.637421537110914
12.5,39.17738255172282,-11.5,33.851069691097024,18.375,14.586952611061207
12.5,37.749644880434865,-11.5,33.25045332772566,18.625,12.673761491197721
12.5,36.13104468741762,-11.5,31.969178547730113,18.875,12.222767979237679
11.5,35.62152308248002,-11.5,31.233820512150135,19.125,13.125959226039498
11.5,34.91458219334705,-11.5,30.452786653299675,19.375,13.651446031168382
11.5,33.74445963517573,-11.5,29.24267088189482,19.625,14.29431287415403
12.5,32.35052336874568,-11.5,28.16886404930441,19.875,13.819238752552454
12.5,31.176181978035018,-11.5,27.752951128820758,20.125,11.618127295397136
12.5,29.961809243921486,-11.5,26.230988089162885,20.375,13.278645420138297
12.5,29.0665494329367,-10.5,25.63210558093649,20.625,12.557690316623452
12.5,27.917473004845245,-10.5,24.916915686645375,20.875,11.358349713178884
10.5,28.678334412854948,-10.5,24.326394474291753,21.125,16.42094971499236
9.5,28.636481995043933,-10.5,23.883097842410045,21.375,18.101379208841443
9.5,29.188488757471877,-9.5,23.04207356732186,21.625,23.535703682180444
9.5,27.532440987002918,-8.5,21.896570051350185,21.875,22.80389923755396
9.5,25.60534742701318,-7.5,20.922261849197692,22.125,20.130351207234302
8.5,24.16224867467393,-6.5,20.263050258087283,22.375,17.553954662131503
8.5,22.707282716066594,-6.5,18.977926804884564,22.625,17.892945502925393
10.5,22.386722891224444,-7.5,18.173290194013774,22.875,20.776288648408478
10.5,22.479393006438347,-7.5,17.829892697696774,23.125,23.06912775814633
9.5,21.15040954863828,-7.5,17.844225851054055,23.375,16.957120710046745
9.5,19.73188504234322,-6.5,17.289456614191238,23.625,13.194705101784876
9.5,17.40634679942395,-6.5,17.051366710801826,23.875,2.060380985620414
