Year DOY Hour f10_7
2023  59  0 157.9
2023  59  1 157.9
2023  59  2 157.9
2023  59  3 157.9
2023  59  4 157.9
2023  59  5 157.9
2023  59  6 157.9
2023  59  7 157.9
2023  59  8 157.9
2023  59  9 157.9
2023  59 10 157.9
2023  59 11 157.9
2023  59 12 157.9
2023  59 13 157.9
2023  59 14 157.9
2023  59 15 157.9
2023  59 16 157.9
2023  59 17 157.9
2023  59 18 157.9
2023  59 19 157.9
2023  59 20 157.9
2023  59 21 157.9
2023  59 22 157.9
2023  59 23 157.9
2023  60  0 159.0
2023  60  1 159.0
2023  60  2 159.0
2023  60  3 159.0
2023  60  4 159.0
2023  60  5 159.0
2023  60  6 159.0
2023  60  7 159.0
2023  60  8 159.0
2023  60  9 159.0
2023  60 10 159.0
2023  60 11 159.0
2023  60 12 159.0
2023  60 13 159.0
2023  60 14 159.0
2023  60 15 159.0
2023  60 16 159.0
2023  60 17 159.0
2023  60 18 159.0
2023  60 19 159.0
2023  60 20 159.0
2023  60 21 159.0
2023  60 22 159.0
2023  60 23 159.0
2023  61  0 165.8
2023  61  1 165.8
2023  61  2 165.8
2023  61  3 165.8
2023  61  4 165.8
2023  61  5 165.8
2023  61  6 165.8
2023  61  7 165.8
2023  61  8 165.8
2023  61  9 165.8
2023  61 10 165.8
2023  61 11 165.8
2023  61 12 165.8
2023  61 13 165.8
2023  61 14 165.8
2023  61 15 165.8
2023  61 16 165.8
2023  61 17 165.8
2023  61 18 165.8
2023  61 19 165.8
2023  61 20 165.8
2023  61 21 165.8
2023  61 22 165.8
2023  61 23 165.8
2023  62  0 187.5
2023  62  1 187.5
2023  62  2 187.5
2023  62  3 187.5
2023  62  4 187.5
2023  62  5 187.5
2023  62  6 187.5
2023  62  7 187.5
2023  62  8 187.5
2023  62  9 187.5
2023  62 10 187.5
2023  62 11 187.5
2023  62 12 187.5
2023  62 13 187.5
2023  62 14 187.5
2023  62 15 187.5
2023  62 16 187.5
2023  62 17 187.5
2023  62 18 187.5
2023  62 19 187.5
2023  62 20 187.5
2023  62 21 187.5
2023  62 22 187.5
2023  62 23 187.5
2023  63  0 178.6
2023  63  1 178.6
2023  63  2 178.6
2023  63  3 178.6
2023  63  4 178.6
2023  63  5 178.6
2023  63  6 178.6
