mlat_n,tec_n,mlat_s,tec_s,mlt,asy
10.5,34.43997321233412,-12.5,33.28531080926676,13.125,3.409841449167131
11.5,35.63363697540189,-12.5,33.75989532724907,13.375,5.400335120514517
10.5,36.693566923767655,-13.5,34.694426133221214,13.625,5.600775998704801
10.5,37.70330592706981,-13.5,34.9586739515409,13.875,7.554520204690541
10.5,38.21510718166422,-13.5,34.620994774730576,14.125,9.869041067259076
10.5,38.67294783333179,-13.5,33.81399415436306,14.375,13.406424786945964
10.5,39.02190954210537,-13.5,33.99485037212327,14.625,13.769603515377268
11.5,39.1701259178237,-13.5,33.98351507665529,14.875,14.180048376703082
11.5,39.26289135903312,-13.5,33.45926034820309,15.125,15.961109165730424
11.5,39.1428360390452,-13.5,33.164429845899186,15.375,16.5361146490005
12.5,38.735266468160994,-13.5,32.857529535108355,15.625,16.419911670398307
12.5,38.18250362409348,-13.5,32.58083954755935,15.875,15.832106922777797
12.5,37.50700775773804,-13.5,32.38521474109095,16.125,14.656260263387395
12.5,36.296785493531985,-12.5,32.325874764249846,16.375,11.573176307550204
12.5,35.035312655282716,-12.5,32.654113755767604,16.625,7.035659853446124
10.5,33.5912994394218,-12.5,31.89525652182238,16.875,5.179820171343765
10.5,32.32748257632984,-11.5,30.831768396601856,17.125,4.736326529169917
12.5,31.41297907287589,-11.5,29.423801876947252,17.375,6.539390036331038
12.5,30.651958216063765,-10.5,27.69010775601566,17.625,10.153395875509613
11.5,29.596500398652818,-10.5,26.13541485094708,17.875,12.420479476454334
11.5,28.183904553016635,-11.5,25.506100165543092,18.125,9.975057374311875
11.5,26.545958165725274,-12.5,25.540134713148717,18.375,3.8621574281472624
11.5,25.396275061787417,-12.5,25.038198840551075,18.625,1.4199661205140035
11.5,24.307850639562204,-12.5,24.531050321661876,18.875,-0.9140241803429714
11.5,23.273978099229414,-12.5,24.31828316092695,19.125,-4.3885498778424905
10.5,21.92294041210721,-12.5,23.938998745760202,19.375,-8.79185821913571
10.5,21.002636480692424,-11.5,22.90745037283928,19.625,-8.675974149177298
10.5,19.886411297754456,-11.5,22.052992503518865,19.875,-10.331959967912702
10.5,18.62848041018053,-11.5,20.964104596474765,20.125,-11.798290947164125
10.5,17.683508831852215,-11.5,19.927649458258674,20.375,-11.933376840438925
10.5,16.588565276429918,-10.5,18.436539839657378,20.625,-10.552285608294556
10.5,15.995627853318078,-10.5,17.25184913774716,20.875,-7.556791661314171
10.5,15.454552826368554,-10.5,16.25652293234974,21.125,-5.057981079438471
10.5,14.71612821538547,-9.5,15.753839438381567,21.375,-6.811370689904901
9.5,13.99349410397232,-9.5,15.143343653224422,21.625,-7.892754586712765
9.5,13.667482318013029,-9.5,14.46153145029069,21.875,-5.645765890110309
8.5,13.246213283591963,-10.5,13.537412551564687,22.125,-2.1744574074096463
7.5,13.207045028232844,-10.5,12.852231373136945,22.375,2.723127454738143
7.5,12.937234014395285,-10.5,12.19050996224963,22.625,5.943422957824635
6.5,12.651546476279298,-9.5,12.18727653313014,22.875,3.7382604076955173
5.5,12.474674070340873,-9.5,12.025850912585547,23.125,3.663784005184343
4.5,,-10.5,11.666367264392285,23.375,
4.5,,-0.5,,23.625,
0.5,,-0.5,,23.875,
